materiau,PSNR
specular-white-phenolic,34.41453387337786
red-metallic-paint,34.303784887428414
pure-rubber,29.57901702264053
white-paint,31.761031419738885
dark-red-paint,26.86824631242719
pink-jasper,36.24845967492001
neoprene-rubber,26.997774557698566
pearl-paint,25.214558011564854
specular-maroon-phenolic,38.19066153534681
gold-metallic-paint3,34.56590170808313
delrin,31.29862651693291
hematite,34.73210779630274
alum-bronze,33.337937588419585
gold-paint,27.55254315448736
teflon,27.50047800427021
white-acrylic,37.879876904240845
specular-violet-phenolic,36.91972556432514
red-fabric,23.065792739783934
blue-acrylic,33.786486325296906
tungsten-carbide,34.94211904240061
grease-covered-steel,34.64658278500457
yellow-paint,28.634141510325613
yellow-phenolic,30.36347094873923
two-layer-silver,30.71136209329437
color-changing-paint2,35.55917099566933
pink-felt,21.510219408533004
black-fabric,23.92778568185043
specular-blue-phenolic,37.99603279805606
steel,27.974887516713306
purple-paint,28.997996897033552
chrome-steel,28.1094347328906
two-layer-gold,35.116158606207875
specular-yellow-phenolic,37.88462576196581
color-changing-paint3,31.86757310090368
light-brown-fabric,22.506269585294657
specular-black-phenolic,36.00647434166728
dark-blue-paint,22.713892855827478
silver-metallic-paint,23.15444784836558
aventurnine,37.8178447363732
color-changing-paint1,34.96360813340504
specular-orange-phenolic,37.172825914814005
blue-metallic-paint2,37.11923007941178
violet-rubber,25.814214895783888
polyethylene,22.270298115920134
green-metallic-paint2,37.77800997178401
gray-plastic,37.698518791475195
green-metallic-paint,24.5031209821277
yellow-plastic,24.784028922384344
black-soft-plastic,21.835139057902033
natural-209,24.52908395262063
silicon-nitrade,34.84328242814528
red-plastic,23.7647611909532
dark-specular-fabric,24.154701119326774
gold-metallic-paint,25.952718841359562
blue-metallic-paint,24.621266699589977
gold-metallic-paint2,28.258746007286124
fruitwood-241,26.37547408249136
pink-plastic,23.39577670577362
black-oxidized-steel,25.908488183730995
green-fabric,20.23282794398004
aluminium,31.757955678099577
pink-fabric2,21.11045435443959
silver-paint,26.639809350883624
specular-red-phenolic,35.96969066879002
ss440,37.12050891031124
black-obsidian,35.30326685820634
pink-fabric,18.572901778717917
green-latex,22.515704913906795
orange-paint,28.400335209822515
green-plastic,34.600507438715645
cherry-235,23.699815720621057
blue-fabric,22.354458754179735
violet-acrylic,38.20854400912638
alumina-oxide,29.075740059263502
colonial-maple-223,24.2411033802715
yellow-matte-plastic,33.724657582924294
polyurethane-foam,22.746037192081122
white-fabric2,19.814599674110063
nickel,34.30867960026588
pickled-oak-260,23.870283690536663
specular-green-phenolic,35.74656545378374
red-specular-plastic,32.92817978955338
ipswich-pine-221,25.403881665032102
pvc,34.95807305371593
red-phenolic,35.468616169986305
chrome,34.131913143740846
maroon-plastic,36.80238521385495
beige-fabric,20.129188585611836
silver-metallic-paint2,23.25527425862453
white-diffuse-bball,26.997990482140104
red-fabric2,24.45465380341374
black-phenolic,38.05853199970517
white-marble,33.673250379244834
brass,33.83316052233263
special-walnut-224,25.11950804495552
green-acrylic,34.39941627314453
white-fabric,21.079182024040747
nylon,33.49855282182261
blue-rubber,28.9999707646315
light-red-paint,32.774120300942386
